"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","To get users","chromium","2026-02-15","passed","2026-02-15","","Apis\APITest.spec.js","",""
"","4583","Test login without username and password @login @smoke","chromium","2026-02-15","passed","2026-02-15","","Loginpage.spec.js","",""
"","543","Test for google api","chromium","2026-02-15","passed","2026-02-15","","Apis\APITest.spec.js","",""
"","250","For Post request","chromium","2026-02-15","passed","2026-02-15","","Apis\APITest.spec.js","",""
"","5002","Test for login with valid credentials @login @smoke @regression","chromium","2026-02-15","passed","2026-02-15","","Loginpage.spec.js","",""
